industry,stock_count,used_count,avg_pct_chg,median_pct_chg,max_pct_chg,min_pct_chg
染料涂料,34,32,18.740330799058764,14.768744080688155,77.3430391264786,-33.218142548596106
家用电器,91,83,18.496677389076932,16.40449438202246,93.25551232166018,-22.11287988422575
互联网,80,72,18.326558746451127,12.110064153969528,90.14925373134328,-23.081645181092693
日用化工,20,18,17.901435679281796,8.99354649103031,88.11023622047246,-36.47090372754089
影视音像,35,33,17.856100532439825,8.604353393085788,114.1104294478528,-36.005625879043606
建筑工程,129,117,17.537800057357952,12.631578947368432,126.7365661861075,-21.12676056338028
批发业,5,5,15.76430870828844,14.597315436241612,40.999999999999986,2.4630541871921316
饲料,23,21,14.953214461406091,14.44099378881987,54.31472081218275,-17.353799314981597
区域地产,45,41,14.827597493449586,9.871244635193133,151.3307984790875,-23.30415754923414
文教休闲,52,48,13.995282410983018,7.938081452932932,82.02995008319466,-32.521186440677965
仓储物流,46,42,13.51641678012593,12.039068831747112,82.84518828451883,-22.240527182866565
机场,5,5,13.303747525225244,3.7091988130563793,46.83195592286502,-1.651155809066359
火力发电,31,29,13.074114096496775,6.3432835820895495,92.78688524590166,-9.671532846715332
园区开发,14,14,12.642785793867079,15.13852198245505,72.15686274509804,-18.283582089552244
乳制品,21,19,12.406980460585155,8.476736775015935,42.32558139534884,-16.366258111031
旅游景点,17,17,11.839114281746738,3.4618632141851866,59.3283582089552,-11.2375533428165
水力发电,22,20,11.714185554116506,9.634367445608383,62.380952380952394,-16.666666666666664
全国地产,26,24,11.289686493603883,2.733118971061092,79.6573875802998,-34.59915611814346
超市连锁,8,8,11.2874815840085,-6.218261413383365,147.0063694267516,-47.324530924252954
汽车服务,10,10,11.247013019866662,6.364030219833713,57.32217573221755,-12.477396021699825
港口,16,16,10.752848877409537,-2.4025004411744826,91.08187134502926,-14.66666666666667
渔业,7,7,10.612308478531245,10.169491525423737,42.3956931359354,-18.66197183098591
房产服务,13,13,10.059928480558067,4.5243619489559235,52.721617418351485,-19.927095990279472
铁路,7,7,9.614866205947772,-2.161100196463643,101.86813186813185,-21.818181818181813
证券,50,46,8.809776523763162,4.734106357457023,40.751173708920184,-12.260536398467432
食品,93,85,7.808149957254912,2.517428350116184,68.85676741130091,-26.959459459459463
银行,42,38,6.147765849079886,6.536675951717734,22.803553800592287,-6.434316353887393
新型电力,29,27,5.086748575133709,-0.06644518272426288,43.62139917695473,-19.62616822429907
中成药,69,63,4.928506968887073,0.5194805194805199,60.84745762711864,-27.09772951628826
其他商业,12,12,4.782971323121523,-10.856587042396022,107.72626931567328,-38.25049701789264
红黄酒,9,9,3.939927626646648,-7.586206896551715,86.64825046040517,-18.741976893453145
汽车整车,22,20,3.893173352193508,2.1147531411484577,37.42365352581898,-20.021019442984763
水务,15,15,3.7623538826134992,0.4390779363337094,31.489841986455996,-24.99999999999999
啤酒,8,8,2.5926667702914266,1.1367428877719243,27.93946449359721,-23.212045169385192
煤炭开采,25,23,0.26401197541558163,-7.785467128027684,100.0,-28.276699029126213
出版业,29,27,-0.6587191559616504,-5.932203389830495,50.96322241681259,-24.919614147909964
百货,35,33,-0.9154389852648714,-5.24271844660195,64.03225806451613,-31.064975009611693
酒店餐饮,9,9,-3.8647150548321005,0.0,23.156899810964077,-37.223974763406936
路桥,19,19,-4.868763928859785,-1.713709677419354,18.982387475538154,-34.91124260355029
白酒,20,18,-17.318918354688204,-21.182584031834732,4.359464627151054,-25.27066929133858
